Sl. No,Model,RSME,MAE,R2,Performance Ranking
1,LSTM,27.15088435,13.72837509,0.93494429,3
2,BiLSTM,21.46826651,12.03925125,0.959326512,1
3,ConvLstm,23.93001064,12.22982864,0.949463723,2
4,ARIMA,121.5137762,69.36159155,-0.270533042,6
5,GRU,30.45214493,17.82268112,0.918162333,4
6,LR,69.33489999,38.15293279,0.473745623,5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
