date,predicted_price
2022-07-15,730.2709494352341
2022-07-16,758.1287945508957
2022-07-17,788.1656955003739
2022-07-18,821.0518625736237
2022-07-19,857.8050383329391
2022-07-20,899.6916503190995
2022-07-21,952.8006348609924
2022-07-22,1015.1668678760528
2022-07-23,1090.3568993091583
2022-07-24,1176.5944689273833
2022-07-25,1283.67728061676
2022-07-26,1406.6230889320373
2022-07-27,1558.7399585723876
2022-07-28,1751.319697332382
2022-07-29,2001.970796918869
2022-07-30,2335.576568031311
2022-07-31,2785.076518249512
2022-08-01,3418.711315441132
2022-08-02,4362.591875362396
2022-08-03,5885.075782012939
2022-08-04,8483.611614418029
2022-08-05,12669.946055984497
2022-08-06,18724.060790634154
2022-08-07,27230.093189239502
2022-08-08,39525.55025787353
2022-08-09,57492.11187133789
2022-08-10,83902.31301574707
2022-08-11,122947.45670471192
2022-08-12,180024.01494750977
2022-08-13,263563.2801940918
