date,predicted_price
2021-09-30,203.1891857192195
2021-10-01,203.286234288243
2021-10-02,203.42815545378843
2021-10-03,203.548222786061
2021-10-04,203.67893336311403
2021-10-05,203.804460471526
2021-10-06,203.93251203067712
2021-10-07,204.05933413288042
2021-10-08,204.1867550046945
2021-10-09,204.3138842639821
2021-10-10,204.4411555442809
2021-10-11,204.56835765756594
2021-10-12,204.69559345654122
2021-10-13,204.82281284992567
2021-10-14,204.95004023315414
2021-10-15,205.07726372517212
2021-10-16,205.2044891122858
2021-10-17,205.3317135764508
2021-10-18,205.45893849010986
2021-10-19,205.5861631848565
2021-10-20,205.71338798621778
2021-10-21,205.84061273565564
2021-10-22,205.96783751038123
2021-10-23,206.0950622727912
2021-10-24,206.2222870411991
2021-10-25,206.34951180668588
2021-10-26,206.47673657359533
2021-10-27,206.6039613398119
2021-10-28,206.7311861063659
2021-10-29,206.85841087275557
2021-10-30,206.98563563922528
2021-10-31,207.11286040565602
2021-11-01,207.24008517210575
2021-11-02,207.3673099385462
2021-11-03,207.49453470499117
2021-11-04,207.62175947143396
2021-11-05,207.7489842378778
2021-11-06,207.87620900432114
2021-11-07,208.00343377076473
2021-11-08,208.1306585372082
2021-11-09,208.2578833036517
2021-11-10,208.38510807009519
2021-11-11,208.5123328365387
2021-11-12,208.6395576029822
2021-11-13,208.7667823694257
2021-11-14,208.8940071358692
2021-11-15,209.0212319023127
2021-11-16,209.1484566687562
2021-11-17,209.27568143519971
2021-11-18,209.40290620164322
2021-11-19,209.53013096808672
2021-11-20,209.65735573453023
2021-11-21,209.78458050097373
2021-11-22,209.91180526741724
2021-11-23,210.03903003386074
2021-11-24,210.16625480030424
2021-11-25,210.29347956674775
2021-11-26,210.42070433319125
2021-11-27,210.54792909963476
2021-11-28,210.67515386607826
2021-11-29,210.80237863252177
2021-11-30,210.92960339896527
2021-12-01,211.05682816540877
2021-12-02,211.18405293185228
2021-12-03,211.31127769829578
2021-12-04,211.4385024647393
2021-12-05,211.5657272311828
2021-12-06,211.6929519976263
2021-12-07,211.8201767640698
2021-12-08,211.9474015305133
2021-12-09,212.0746262969568
2021-12-10,212.2018510634003
2021-12-11,212.32907582984382
2021-12-12,212.45630059628732
2021-12-13,212.58352536273082
2021-12-14,212.71075012917433
2021-12-15,212.83797489561783
2021-12-16,212.96519966206134
2021-12-17,213.09242442850484
2021-12-18,213.21964919494835
2021-12-19,213.34687396139185
2021-12-20,213.47409872783535
2021-12-21,213.60132349427886
2021-12-22,213.72854826072236
2021-12-23,213.85577302716587
2021-12-24,213.98299779360937
2021-12-25,214.11022256005288
2021-12-26,214.23744732649638
2021-12-27,214.36467209293988
2021-12-28,214.4918968593834
2021-12-29,214.6191216258269
2021-12-30,214.7463463922704
2021-12-31,214.8735711587139
2022-01-01,215.0007959251574
2022-01-02,215.1280206916009
2022-01-03,215.2552454580444
2022-01-04,215.38247022448792
2022-01-05,215.50969499093142
2022-01-06,215.63691975737493
2022-01-07,215.76414452381843
2022-01-08,215.89136929026193
2022-01-09,216.01859405670544
2022-01-10,216.14581882314894
2022-01-11,216.27304358959245
2022-01-12,216.40026835603595
2022-01-13,216.52749312247946
2022-01-14,216.65471788892296
2022-01-15,216.78194265536646
2022-01-16,216.90916742180997
2022-01-17,217.03639218825347
2022-01-18,217.16361695469698
2022-01-19,217.29084172114048
2022-01-20,217.41806648758399
2022-01-21,217.5452912540275
2022-01-22,217.672516020471
2022-01-23,217.7997407869145
2022-01-24,217.926965553358
2022-01-25,218.0541903198015
2022-01-26,218.181415086245
2022-01-27,218.30863985268851
2022-01-28,218.43586461913202
2022-01-29,218.56308938557552
2022-01-30,218.69031415201903
2022-01-31,218.81753891846253
2022-02-01,218.94476368490604
2022-02-02,219.07198845134954
2022-02-03,219.19921321779304
2022-02-04,219.32643798423655
2022-02-05,219.45366275068005
2022-02-06,219.58088751712356
2022-02-07,219.70811228356706
2022-02-08,219.83533705001057
2022-02-09,219.96256181645407
2022-02-10,220.08978658289757
2022-02-11,220.21701134934108
2022-02-12,220.34423611578458
2022-02-13,220.4714608822281
2022-02-14,220.5986856486716
2022-02-15,220.7259104151151
2022-02-16,220.8531351815586
2022-02-17,220.9803599480021
2022-02-18,221.1075847144456
2022-02-19,221.2348094808891
2022-02-20,221.36203424733262
2022-02-21,221.48925901377612
2022-02-22,221.61648378021962
2022-02-23,221.74370854666313
2022-02-24,221.87093331310663
2022-02-25,221.99815807955014
2022-02-26,222.12538284599364
2022-02-27,222.25260761243715
2022-02-28,222.37983237888065
2022-03-01,222.50705714532415
2022-03-02,222.63428191176766
2022-03-03,222.76150667821116
2022-03-04,222.88873144465467
2022-03-05,223.01595621109817
2022-03-06,223.14318097754168
2022-03-07,223.27040574398518
2022-03-08,223.39763051042868
2022-03-09,223.5248552768722
2022-03-10,223.6520800433157
2022-03-11,223.7793048097592
2022-03-12,223.9065295762027
2022-03-13,224.0337543426462
2022-03-14,224.1609791090897
2022-03-15,224.2882038755332
2022-03-16,224.41542864197672
2022-03-17,224.54265340842022
2022-03-18,224.66987817486373
2022-03-19,224.79710294130723
2022-03-20,224.92432770775073
2022-03-21,225.05155247419424
2022-03-22,225.17877724063774
2022-03-23,225.30600200708125
2022-03-24,225.43322677352475
2022-03-25,225.56045153996826
2022-03-26,225.68767630641176
2022-03-27,225.81490107285526
2022-03-28,225.94212583929877
2022-03-29,226.06935060574227
2022-03-30,226.19657537218578
2022-03-31,226.32380013862928
2022-04-01,226.45102490507279
2022-04-02,226.5782496715163
2022-04-03,226.7054744379598
