date,predicted_price
2021-10-15,33.99590301513672
2021-10-16,33.99590301513672
2021-10-17,33.99590301513672
2021-10-18,33.99590301513672
2021-10-19,33.99590301513672
2021-10-20,33.99590301513672
2021-10-21,33.99590301513672
2021-10-22,33.99590301513672
2021-10-23,33.99590301513672
2021-10-24,33.99590301513672
2021-10-25,33.99590301513672
2021-10-26,33.99590301513672
2021-10-27,33.99590301513672
2021-10-28,33.99590301513672
2021-10-29,33.99590301513672
2021-10-30,33.99590301513672
2021-10-31,33.99590301513672
2021-11-01,33.99590301513672
2021-11-02,33.99590301513672
2021-11-03,33.99590301513672
2021-11-04,33.99590301513672
2021-11-05,33.99590301513672
2021-11-06,33.99590301513672
2021-11-07,33.99590301513672
2021-11-08,33.99590301513672
2021-11-09,33.99590301513672
2021-11-10,33.99590301513672
2021-11-11,33.99590301513672
2021-11-12,33.99590301513672
2021-11-13,33.99590301513672
2021-11-14,33.99590301513672
2021-11-15,33.99590301513672
2021-11-16,33.99590301513672
2021-11-17,33.99590301513672
2021-11-18,33.99590301513672
2021-11-19,32.38628005981445
2021-11-20,31.977060317993164
2021-11-21,31.98432731628418
2021-11-22,31.979877471923828
2021-11-23,31.978422164916992
2021-11-24,31.978160858154297
2021-11-25,31.978225708007812
2021-11-26,31.978342056274414
2021-11-27,31.97845458984375
2021-11-28,31.97852325439453
2021-11-29,31.978534698486328
2021-11-30,31.978534698486328
2021-12-01,31.978534698486328
2021-12-02,31.366085052490234
2021-12-03,30.972118377685547
2021-12-04,30.972801208496094
2021-12-05,30.97061538696289
2021-12-06,30.969636917114258
2021-12-07,30.969396591186523
2021-12-08,30.969396591186523
2021-12-09,30.969453811645508
2021-12-10,30.96950340270996
2021-12-11,30.969547271728516
2021-12-12,30.969560623168945
2021-12-13,30.969560623168945
2021-12-14,30.969560623168945
2021-12-15,30.969560623168945
2021-12-16,30.96956443786621
2021-12-17,30.96956443786621
2021-12-18,30.969560623168945
2021-12-19,30.969560623168945
2021-12-20,30.969560623168945
2021-12-21,30.969560623168945
2021-12-22,30.969560623168945
2021-12-23,30.969560623168945
2021-12-24,30.969560623168945
2021-12-25,30.969560623168945
2021-12-26,30.969560623168945
2021-12-27,30.969560623168945
2021-12-28,30.969560623168945
2021-12-29,30.969560623168945
2021-12-30,30.969560623168945
2021-12-31,30.969560623168945
2022-01-01,30.969560623168945
2022-01-02,30.969560623168945
2022-01-03,30.969560623168945
2022-01-04,30.969560623168945
2022-01-05,30.969560623168945
2022-01-06,30.969560623168945
2022-01-07,30.969560623168945
2022-01-08,30.969560623168945
2022-01-09,30.969560623168945
2022-01-10,30.969560623168945
2022-01-11,30.969560623168945
2022-01-12,30.969560623168945
2022-01-13,30.969560623168945
2022-01-14,30.969560623168945
2022-01-15,30.969560623168945
2022-01-16,30.969560623168945
2022-01-17,30.96956443786621
2022-01-18,30.96956443786621
2022-01-19,30.969560623168945
2022-01-20,30.969560623168945
2022-01-21,30.969560623168945
2022-01-22,30.969560623168945
2022-01-23,30.969560623168945
2022-01-24,30.969560623168945
2022-01-25,30.969560623168945
2022-01-26,30.969560623168945
2022-01-27,30.969560623168945
2022-01-28,30.969560623168945
2022-01-29,30.969560623168945
2022-01-30,30.969560623168945
2022-01-31,30.572792053222656
2022-02-01,29.98689079284668
2022-02-02,29.978954315185547
2022-02-03,29.977645874023438
2022-02-04,29.97702407836914
2022-02-05,29.97698402404785
2022-02-06,29.97709846496582
2022-02-07,30.757610321044922
2022-02-08,30.966075897216797
2022-02-09,30.9680118560791
2022-02-10,33.00516128540039
2022-02-11,32.97437286376953
2022-02-12,32.982879638671875
2022-02-13,32.98685836791992
2022-02-14,32.987796783447266
2022-02-15,33.407493591308594
2022-02-16,34.02214431762695
2022-02-17,33.98954772949219
2022-02-18,33.99467849731445
2022-02-19,33.995849609375
2022-02-20,33.996116638183594
2022-02-21,33.99610900878906
2022-02-22,33.99604034423828
2022-02-23,33.99597930908203
2022-02-24,33.360076904296875
2022-02-25,32.975494384765625
2022-02-26,32.99174499511719
2022-02-27,32.98831558227539
2022-02-28,32.987327575683594
2022-03-01,32.98712921142578
2022-03-02,32.987152099609375
2022-03-03,32.98720932006836
2022-03-04,32.98726272583008
2022-03-05,32.98731231689453
2022-03-06,32.36256790161133
2022-03-07,31.973344802856445
2022-03-08,31.982290267944336
2022-03-09,31.979591369628906
2022-03-10,32.18421173095703
2022-03-11,33.008331298828125
2022-03-12,32.98076629638672
2022-03-13,32.98539733886719
2022-03-14,32.987064361572266
2022-03-15,32.987491607666016
2022-03-16,32.987525939941406
2022-03-17,32.98746871948242
2022-03-18,32.987403869628906
2022-03-19,31.949417114257812
2022-03-20,31.984878540039062
2022-03-21,31.98065948486328
2022-03-22,31.978870391845703
2022-03-23,31.978391647338867
2022-03-24,31.16315269470215
2022-03-25,30.164785385131836
2022-03-26,29.988523483276367
2022-03-27,29.9801025390625
2022-03-28,29.977615356445312
2022-03-29,29.97699737548828
2022-03-30,29.97701072692871
2022-03-31,29.977134704589844
2022-04-01,29.97723388671875
2022-04-02,29.977291107177734
2022-04-03,29.977325439453125
2022-04-04,29.977325439453125
2022-04-05,29.977325439453125
2022-04-06,29.977325439453125
2022-04-07,31.762920379638672
2022-04-08,33.002052307128906
2022-04-09,32.97551345825195
2022-04-10,32.984397888183594
2022-04-11,32.987449645996094
2022-04-12,32.98802947998047
2022-04-13,32.98793029785156
