date,predicted_price
2022-07-15,549.8129654169082
2022-07-16,510.52800281047826
2022-07-17,476.3254860401154
2022-07-18,446.3278605103493
2022-07-19,419.9698165535927
2022-07-20,396.78731312751773
2022-07-21,376.3812222361565
2022-07-22,358.34273055791857
2022-07-23,342.42290385961536
2022-07-24,328.37387614250184
2022-07-25,315.96768617630005
2022-07-26,305.0071734905243
2022-07-27,295.31818026304245
2022-07-28,286.75218629837036
2022-07-29,279.17989962100984
2022-07-30,272.4878025174141
2022-07-31,266.57950463294986
2022-08-01,261.36356509923934
2022-08-02,256.7586200594902
2022-08-03,252.69345388412478
2022-08-04,249.1038656830788
2022-08-05,245.93420044183733
2022-08-06,243.13560423851015
2022-08-07,240.66403020620348
2022-08-08,238.4813067674637
2022-08-09,236.55374892950059
2022-08-10,234.85119687318803
2022-08-11,233.34733642339708
2022-08-12,232.01891567707062
2022-08-13,230.84538892507555
