date,predicted_price
2021-09-30,141.36970129299797
2021-10-01,265.8281745831295
2021-10-02,145.2480106589794
2021-10-03,172.04360264212386
2021-10-04,158.64580665055163
2021-10-05,124.44616951416988
2021-10-06,292.62376656627396
2021-10-07,143.1325691866259
2021-10-08,289.45060435774366
2021-10-09,247.14177491067346
2021-10-10,219.99360934880343
2021-10-11,299.67523814078567
2021-10-12,134.67080329721185
2021-10-13,238.68000902125942
2021-10-14,252.78295217028284
2021-10-15,243.61603912341764
2021-10-16,272.87964615764116
2021-10-17,192.1402966294822
2021-10-18,271.11677826401325
2021-10-19,216.82044714027316
2021-10-20,214.70500566791964
2021-10-21,264.4178802682271
2021-10-22,284.5145742555855
2021-10-23,222.8141979786081
2021-10-24,192.8454437869334
2021-10-25,185.7939722124217
2021-10-26,280.9888384683296
2021-10-27,160.76124812290516
2021-10-28,290.1557515151949
2021-10-29,279.93111773215287
2021-10-30,166.04985180378893
2021-10-31,193.55059094438457
2021-11-01,173.1013233783006
2021-11-02,166.7549989612401
2021-11-03,151.24176149731434
2021-11-04,169.57558759104478
2021-11-05,197.0763267316404
2021-11-06,296.85464951098095
2021-11-07,116.68955078220702
2021-11-08,225.9873601871384
2021-11-09,254.89839364263634
2021-11-10,275.7002347874459
2021-11-11,117.39469793965819
2021-11-12,271.8219254214644
2021-11-13,178.3899270591844
2021-11-14,165.34470464633776
2021-11-15,236.21199397018034
2021-11-16,127.26675814397457
2021-11-17,266.1807481618551
2021-11-18,168.51786685486803
2021-11-19,267.943616055483
2021-11-20,176.97963274428207
2021-11-21,264.06530668950154
2021-11-22,284.1620006768599
2021-11-23,248.5520692255758
2021-11-24,190.37742873585427
2021-11-25,266.5333217405807
2021-11-26,304.25869466421824
2021-11-27,264.7704538469527
2021-11-28,280.28369131087845
2021-11-29,190.73000231457988
2021-11-30,239.73772975743617
2021-12-01,149.47889360368643
2021-12-02,142.7799956079003
2021-12-03,253.13552574900842
2021-12-04,127.61933172270015
2021-12-05,147.3634521313329
2021-12-06,240.44287691488734
2021-12-07,118.80499225456053
2021-12-08,149.12632002496085
2021-12-09,253.8406729064596
2021-12-10,223.5193451360593
2021-12-11,147.7160257100585
2021-12-12,136.4336711908398
2021-12-13,137.84396550574212
2021-12-14,301.79067961313916
2021-12-15,138.90168624191887
2021-12-16,196.7237531529148
2021-12-17,183.67853074006817
2021-12-18,205.89066619978001
2021-12-19,182.62081000389142
2021-12-20,161.46639528035632
2021-12-21,221.05133008498018
2021-12-22,199.5443417827195
2021-12-23,227.39765450204072
2021-12-24,281.69398562578084
2021-12-25,262.6550123745992
2021-12-26,216.46787356154758
2021-12-27,206.9483869359568
2021-12-28,245.73148059577113
2021-12-29,234.80169965527801
2021-12-30,196.01860599546364
2021-12-31,235.85942039145476
2022-01-01,282.0465592045064
2022-01-02,285.92486857048783
2022-01-03,211.1792698806638
2022-01-04,249.96236354047818
2022-01-05,184.73625147624495
2022-01-06,111.75352068004882
2022-01-07,198.13404746781714
2022-01-08,115.63183004603026
2022-01-09,157.94065949310047
2022-01-10,220.6987565062546
2022-01-11,209.4164019870359
2022-01-12,265.1230274256783
2022-01-13,245.02633343831997
2022-01-14,176.6270591655565
2022-01-15,138.1965390844677
2022-01-16,250.66751069792934
2022-01-17,221.75647724243134
2022-01-18,153.00462939094228
2022-01-19,167.46014611869126
2022-01-20,303.5535475067671
2022-01-21,211.5318434593894
2022-01-22,271.46935184273883
2022-01-23,291.5660458300972
2022-01-24,290.86089867264604
2022-01-25,276.40538194489704
2022-01-26,197.78147388909156
2022-01-27,174.51161769320296
2022-01-28,227.7502280807663
2022-01-29,296.1495023535298
2022-01-30,114.9266828885791
2022-01-31,282.399132783232
2022-02-01,150.88918791858876
2022-02-02,230.57081671057097
2022-02-03,290.50832509392046
2022-02-04,255.25096722136192
2022-02-05,195.66603241673806
2022-02-06,134.31822971848626
2022-02-07,269.7064839491109
2022-02-08,155.82521802074695
2022-02-09,302.4958267705903
2022-02-10,259.83442374479455
2022-02-11,249.25721638302701
2022-02-12,208.7112548295847
2022-02-13,255.6035408000875
2022-02-14,159.70352738672838
2022-02-15,199.19176820399392
2022-02-16,113.86896215240233
2022-02-17,265.4756010044039
2022-02-18,288.3928836215669
2022-02-19,219.28846219135227
2022-02-20,300.02781171951125
2022-02-21,252.43037859155726
2022-02-22,147.01087855260732
2022-02-23,145.600584237705
2022-02-24,188.61456084222635
2022-02-25,130.43992035250483
2022-02-26,121.97815446309079
2022-02-27,192.49287020820782
2022-02-28,128.67705245887691
2022-03-01,146.65830497388174
2022-03-02,230.92339028929655
2022-03-03,200.24948894017066
2022-03-04,224.22449229351045
2022-03-05,210.47412272321264
2022-03-06,131.145067509956
2022-03-07,162.1715424378075
2022-03-08,132.55536182485835
2022-03-09,113.51638857367675
2022-03-10,114.22153573112791
2022-03-11,236.56456754890593
2022-03-12,232.6862581829245
2022-03-13,186.49911936987286
2022-03-14,233.39140534037566
2022-03-15,235.1542732340036
2022-03-16,124.79874309289548
2022-03-17,288.7454572002925
2022-03-18,239.032582599985
2022-03-19,194.25573810183573
2022-03-20,303.2009739280415
2022-03-21,221.40390366370576
2022-03-22,177.68477990173324
2022-03-23,275.3476612087203
2022-03-24,155.12007086329578
2022-03-25,165.69727822506334
2022-03-26,213.2947113530173
2022-03-27,132.20278824613277
2022-03-28,207.30096051468237
2022-03-29,276.7579555236226
2022-03-30,285.57229499176225
2022-03-31,302.8484003493159
2022-04-01,194.60831168056131
2022-04-02,203.42265114870094
2022-04-03,179.80022137408673
