date,predicted_price
2022-07-15,304.6112682429438
2022-07-16,304.9638418216694
2022-07-17,305.316415400395
2022-07-18,305.66898897912057
2022-07-19,306.02156255784615
2022-07-20,306.3741361365718
2022-07-21,306.7267097152974
2022-07-22,307.07928329402296
2022-07-23,307.43185687274854
2022-07-24,307.7844304514741
2022-07-25,308.1370040301997
2022-07-26,308.4895776089253
2022-07-27,308.84215118765087
2022-07-28,309.19472476637645
2022-07-29,309.54729834510204
2022-07-30,309.8998719238276
2022-07-31,310.2524455025532
2022-08-01,310.6050190812788
2022-08-02,310.95759266000437
2022-08-03,311.31016623872995
2022-08-04,311.66273981745553
2022-08-05,312.0153133961811
2022-08-06,312.3678869749067
2022-08-07,312.7204605536323
2022-08-08,313.07303413235786
2022-08-09,313.42560771108344
2022-08-10,313.778181289809
2022-08-11,314.1307548685346
2022-08-12,314.48332844726025
2022-08-13,314.83590202598583
