,predicted_price,date
0,13.129366010427477,2022-07-15
1,13.251518428325655,2022-07-16
2,13.37110769748688,2022-07-17
3,13.492265164852144,2022-07-18
4,13.614349335432054,2022-07-19
5,13.735806316137316,2022-07-20
6,13.856702715158464,2022-07-21
7,13.97578087449074,2022-07-22
8,14.093143165111544,2022-07-23
9,14.208292186260225,2022-07-24
10,14.320547103881838,2022-07-25
11,14.431486546993257,2022-07-26
12,14.542351484298708,2022-07-27
13,14.651565670967104,2022-07-28
14,14.760333418846132,2022-07-29
15,14.868674695491793,2022-07-30
16,14.976240813732149,2022-07-31
17,15.082754611968996,2022-08-01
18,15.188164532184603,2022-08-02
19,15.292500972747805,2022-08-03
20,15.395782709121706,2022-08-04
21,15.4978324174881,2022-08-05
22,15.598514497280123,2022-08-06
23,15.697833120822908,2022-08-07
24,15.797112703323366,2022-08-08
25,15.896612524986269,2022-08-09
26,15.99633973836899,2022-08-10
27,16.09629613161087,2022-08-11
28,16.19648766517639,2022-08-12
29,16.296882152557373,2022-08-13
