date,predicted_price
2022-07-15,576.2983073115349
2022-07-16,568.284661769867
2022-07-17,559.7585841655731
2022-07-18,551.0797490358353
2022-07-19,542.5850063085556
2022-07-20,534.3280525684357
2022-07-21,526.219939494133
2022-07-22,518.2295458555221
2022-07-23,510.2481966018677
2022-07-24,501.5896579265595
2022-07-25,492.9195111036301
2022-07-26,485.74296967983247
2022-07-27,478.7587104558945
2022-07-28,471.97403303384783
2022-07-29,465.3978393673897
2022-07-30,459.0193402886391
2022-07-31,452.8157467961312
2022-08-01,446.78908853530885
2022-08-02,440.9312113165856
2022-08-03,435.2356701254845
2022-08-04,429.7270699620247
2022-08-05,424.4195471286774
2022-08-06,419.26517350673674
2022-08-07,414.2584654927254
2022-08-08,409.39415313005446
2022-08-09,404.66842638254167
2022-08-10,400.07484023571016
2022-08-11,395.6076974391937
2022-08-12,391.2629030942917
2022-08-13,387.03604183197024
